Gender,ID,NAME,Status,COUNTRY,WicketKeeping,Full name,Born,Died,Current age,Major teams,Education,Height,Nickname,PlayingRole,Batting style,Bowling style,Other,Relation,In a nutshell,DESCRIPTION,AWARDS,BATTING_Tests_Mat,BATTING_Tests_Inns,BATTING_Tests_NO,BATTING_Tests_Runs,BATTING_Tests_HS,BATTING_Tests_Ave,BATTING_Tests_BF,BATTING_Tests_SR,BATTING_Tests_100,BATTING_Tests_50,BATTING_Tests_4s,BATTING_Tests_6s,BATTING_Tests_Ct,BATTING_Tests_St,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_ODIs_4s,BATTING_ODIs_6s,BATTING_ODIs_Ct,BATTING_ODIs_St,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_HS,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BATTING_T20Is_4s,BATTING_T20Is_6s,BATTING_T20Is_Ct,BATTING_T20Is_St,BATTING_First-class_Mat,BATTING_First-class_Inns,BATTING_First-class_NO,BATTING_First-class_Runs,BATTING_First-class_HS,BATTING_First-class_Ave,BATTING_First-class_BF,BATTING_First-class_SR,BATTING_First-class_100,BATTING_First-class_50,BATTING_First-class_4s,BATTING_First-class_6s,BATTING_First-class_Ct,BATTING_First-class_St,BATTING_List A_Mat,BATTING_List A_Inns,BATTING_List A_NO,BATTING_List A_Runs,BATTING_List A_HS,BATTING_List A_Ave,BATTING_List A_BF,BATTING_List A_SR,BATTING_List A_100,BATTING_List A_50,BATTING_List A_4s,BATTING_List A_6s,BATTING_List A_Ct,BATTING_List A_St,BATTING_T20s_Mat,BATTING_T20s_Inns,BATTING_T20s_NO,BATTING_T20s_Runs,BATTING_T20s_HS,BATTING_T20s_Ave,BATTING_T20s_BF,BATTING_T20s_SR,BATTING_T20s_100,BATTING_T20s_50,BATTING_T20s_4s,BATTING_T20s_6s,BATTING_T20s_Ct,BATTING_T20s_St,BOWLING_Tests_Mat,BOWLING_Tests_Inns,BOWLING_Tests_Balls,BOWLING_Tests_Runs,BOWLING_Tests_Wkts,BOWLING_Tests_BBI,BOWLING_Tests_BBM,BOWLING_Tests_Ave,BOWLING_Tests_Econ,BOWLING_Tests_SR,BOWLING_Tests_4w,BOWLING_Tests_5w,BOWLING_Tests_10,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_BBI,BOWLING_ODIs_BBM,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BOWLING_ODIs_10,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_BBI,BOWLING_T20Is_BBM,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20Is_5w,BOWLING_T20Is_10,BOWLING_First-class_Mat,BOWLING_First-class_Inns,BOWLING_First-class_Balls,BOWLING_First-class_Runs,BOWLING_First-class_Wkts,BOWLING_First-class_BBI,BOWLING_First-class_BBM,BOWLING_First-class_Ave,BOWLING_First-class_Econ,BOWLING_First-class_SR,BOWLING_First-class_4w,BOWLING_First-class_5w,BOWLING_First-class_10,BOWLING_List A_Mat,BOWLING_List A_Inns,BOWLING_List A_Balls,BOWLING_List A_Runs,BOWLING_List A_Wkts,BOWLING_List A_BBI,BOWLING_List A_BBM,BOWLING_List A_Ave,BOWLING_List A_Econ,BOWLING_List A_SR,BOWLING_List A_4w,BOWLING_List A_5w,BOWLING_List A_10,BOWLING_T20s_Mat,BOWLING_T20s_Inns,BOWLING_T20s_Balls,BOWLING_T20s_Runs,BOWLING_T20s_Wkts,BOWLING_T20s_BBI,BOWLING_T20s_BBM,BOWLING_T20s_Ave,BOWLING_T20s_Econ,BOWLING_T20s_SR,BOWLING_T20s_4w,BOWLING_T20s_5w,BOWLING_T20s_10
M,26329,Mohammad Azharuddin,R,India,Yes,Mohammad Azharuddin,"
February 8, 1963, Hyderabad, Andhra Pradesh ",,50 years 156 days,"['India,', 'Derbyshire,', 'Hyderabad (India)']",,,,,Right-hand bat,Right-arm medium,,Son - ,,"[""\nThose who saw this supreme batting artist at his peak will never forget him - sinewy wrists transforming a slender piece of willow into a magician's wand. Azhar's leg-side play was reminiscent of Zaheer Abbas and Greg Chappell - a Michelangelo in the midst of housepainters. In later years, he expanded his off-side repertoire, and conjured some of the finest innings played in the modern era - his 121 at Lord's in 1990 was one for the gods. His technique was suspect against the short stuff, a deficiency he sought to overcome through instinctive strokeplay, sometimes with cavalier disregard for the team situation. As captain, Azhar enjoyed tremendous success on made-to-order home pitches, while right to the end of his career he was peerless in the field, whether prowling the covers or pouching catches at slip. He announced his arrival, against England in 1984-85, with three hundreds in his first three Tests, a feat that has never been match, while his last Test innings also bore him a hundred. But then allegations of match-fixing provided an emphatic full stop. That he finished his career with 99 Tests is perhaps appropriate for one who came within a whisker of batting immortality - only to throw it all away at close of play. He appealed against the life ban in the courts but the verdict is still awaited. He made his foray into politics by joining the Congress party in 2009. "", ' February 2009 \n']",['Wisden Cricketer of the Year 1991'],99,147,9,6215,199,45.03,,,22,21,,19,105,0,334,308,54,9378,153*,36.92,12669,74.02,7,58,,,156,0,,,,,,,,,,,,,,,229,343,38,15855,226,51.98,,,54,74,,,220,0,432,399,70,12931,161*,39.3,,,11,85,,,200,0,,,,,,,,,,,,,,,99,3,13,16,0,,,,7.38,,0,0,0,334,24,552,479,12,3/19,3/19,39.91,5.2,46,0,0,0,,,,,,,,,,,,,,229,,1432,786,17,3/36,,46.23,3.29,84.2,,0,0,432,,827,709,15,3/19,3/19,47.26,5.14,55.1,0,0,0,,,,,,,,,,,,,
M,26421,Ravichandran Ashwin,NR,India,No,Ravichandran Ashwin,"
September 17, 1986, Madras (now Chennai), Tamil Nadu ",,32 years 187 days,"['India,', 'Chennai Super Kings,', 'Dindigul Dragons,', 'Kings XI Punjab,', 'Rising Pune Supergiants,', 'Tamil Nadu,', 'Worcestershire']",,,,Allrounder,Right-hand bat,Right-arm offbreak,,,,"[""\nR Ashwin came into the public's reckoning through the IPL, but soon enough, he began to hold his own even in international cricket. A tall offspinner, Ashwin opened the bowling for Chennai Super Kings, bowled at death, came on when wickets were required, and was the Man of the Series in the 2010 Champions League Twenty20 played in South Africa. "", ' \n', ""Ashwin's success in T20 cricket earned him a call-up to the national side - ODI firsts and inevitably the Tests in 2011-12. He was a part of the winning squad in the 2011 World Cup, but rarely got a chance ahead of Harbhajan Singh. But, Ashwin kept on building a phenomenal body of work and his rapid development as a bowler coincided with Harbhajan's fading fortunes. "", ' ', ""Ashwin took nine wickets in his maiden Test against West Indies, the second-highest by an Indian debutant after Narendra Hirwani's 16, and won the Man-of-the-Match award. It only got better from there: he registered nine five-fors in his first 16 Tests and in 2013, broke Erapalli Prasanna's Indian record for the fastest to 100 Test wickets by reaching the landmark in his 18th game. "", 'His carrom ball, an arm ball just as good, his control over his offbreaks, and a sharp brain has made Ashwin a quintessential limited-overs spinner. In Test cricket, however, he endured a brief period of struggle after not being able to replicate his success in subcontinental conditions overseas. In December 2013, Ashwin went wicketless for 36 overs in Johannesburg as India failed to bowl out South Africa, who nearly accomplished a chase of 458 in over four-and-a-half-sessions. He was made to sit out for six Tests after that, and when India went to Australia in late 2014, he was not picked for the first Test in Adelaide. ', ""Ashwin, however, effected minor tweaks to his bowling, mainly zeroing in on a comfortable action, and recaptured his glorious form to finish with 31 wickets in India's 3-0 series win against South Africa at home in November-December 2015. An opener with the bat before he took up offspin, Ashwin is more than a handy lower-order batsman: he is correct, has the shots and scored two Test centuries. He had a decent outing in the 2016 World T20, but in a crucial moment in the semi-final, he overstepped and reprieved the dangerous Lendl Simmons, paving the way for West Indies' win and India's exit. "", 'In the IPL, with the Super Kings having been suspended for two years, Ashwin was picked up by Rising Pune Super Giants in the 2016 player draft for INR 7.5 crore.']",[],65,93,12,2361,124,29.14,4308,54.8,4,11,266,14,23,0,111,61,19,675,65,16.07,776,86.98,0,1,59,6,30,0,46,11,7,123,31*,30.75,115,106.95,0,0,14,1,8,0,109,149,26,3791,124,30.82,6738,56.26,6,19,472,17,43,0,167,98,26,1305,79,18.12,1684,77.49,0,4,103,12,48,0,216,77,30,625,46,13.29,550,113.63,0,0,58,14,51,0,65,122,18372,8700,342,7/59,13/140,25.43,2.84,53.7,16,26,7,111,109,6021,4937,150,4/25,4/25,32.91,4.91,40.1,1,0,0,46,46,1026,1193,52,4/8,4/8,22.94,6.97,19.7,2,0,0,109,194,29317,13705,512,7/59,13/140,26.76,2.8,57.2,19,39,10,167,165,9052,6992,226,4/25,4/25,30.93,4.63,40,1,0,0,216,213,4622,5280,217,4/8,4/8,24.33,6.85,21.2,4,0,0
M,26295,Arun Lal,R,India,No,Jagdishlal Arun Lal,"
August 1, 1955, Moradabad, Uttar Pradesh ",,63 years 234 days,"['India,', 'Bengal,', 'Delhi']",,,,,Right-hand bat,Right-arm medium,,"['Father - ', ',', 'Uncle - ', ',', 'Cousin - ']",,"[""\nArun Lal was not the most spontaneously gifted of cricketers but compensated with an abundance of blood, sweat and toil that marked him out from his peers for higher laurels. With his father, uncle, and cousin all having been top performers in the Ranji Trophy, Arun's cricketing pedigree was impeccable.  \n"", ""Although an underachiever at the highest level, he was a prodigious performer in domestic cricket and retired in fifth position in the all time Ranji run aggregates, with 6760 runs at 53.23. Having played six seasons for Delhi without unveiling his latent abilities, Arun made a strategic move to Bengal in 1980-81 which struck pay dirt. Summoned for a Test call-up against Sri Lanka in 1982 at the relatively late age of 27, he responded with 63 in his debut innings. Arun was not a conspicuous success on the tour of Pakistan which followed where many an experienced hand came a cropper against Imran Khan. Biding his time during the four years of exile that followed, he burst into a frenzy of activity in the 1986-87 season with identical scores of 287 in the Ranji pre-quarters and the Duleep semis. Rewarded with a Test place against Pakistan at his adopted home in Calcutta when Sunil Gavaskar refused to play there, Arun made a firm statement of purpose with two half centuries. After Sunny's retirement, followed a sequence of 11 successive Test appearances which began promisingly enough against the West Indies at home as he made his highest Test score of 93 at Calcutta. But his career ended limply against the same opposition away in 1989. "", ""Arun Lal's last hurrah was in the 1989-90 Ranji season when Bengal won the title after 51 years, with his most important contribution being a knock of 189 that helped shut out Bombay in the quarters.\n"", '\n']",[],16,29,1,729,93,26.03,,,0,6,,0,13,0,13,13,0,122,51,9.38,232,52.58,0,1,10,1,4,0,,,,,,,,,,,,,,,156,240,18,10421,287,46.94,,,30,43,,,145,0,65,64,4,1734,90,28.9,,,0,12,,,22,0,,,,,,,,,,,,,,,16,3,16,7,0,,,,2.62,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,156,,1856,931,21,4/79,,44.33,3,88.3,,0,0,65,,699,571,14,3/38,3/38,40.78,4.9,49.9,0,0,0,,,,,,,,,,,,,
M,26290,Arshad Ayub,R,India,No,Arshad Ayub,"
August 2, 1958, Hyderabad, Andhra Pradesh ",,60 years 233 days,"['India,', 'Hyderabad (India)']",,,,,Right-hand bat,Right-arm offbreak,,,,"['\n \n', ""Arshad Ayub's Test career lasted just over two years. But in that\nshort eventful time, he experienced the kind of ups and downs that\ncricketers experience over a much longer period. A right arm off\nspinner who relied more on accuracy than turn and a useful late order\nbatsman, Ayub played against West Indies, New Zealand and Pakistan. In\nhis debut series against West Indies, he held out promise of bigger\nthings. In the first Test, he took four of the five wickets that West\nIndies lost in the second innings and it took a special innings from\nVivian Richards to halt a rampaging Ayub in his tracks. Then in the\nthird Test he scored a fine 57 at No 9. The next season he played a\nleading part in India winning the series against New Zealand with a\nbag of 21 wickets in the three Tests. A few months later he showed\nthat it was not only on Indian pitches that he could succeed by taking\n14 wickets against a strong West Indian side in the Caribbean in four\nTests. This included two five wicket hauls. However in his next series\nin Pakistan, he was a total failure. After two Tests he was not only\nwicketless but was also very expensive and was not considered\nthereafter."", 'A utility player like Ayub pulled in his weight in the limited overs\ngame and he had one notable spell when he bowled India to victory\nagainst Pakistan in the Asia Cup final at Dhaka in 1988 with a spell\nof five for 21, then the best bowling figures by an Indian in a\nODI. All things considered, he was perhaps discarded too soon but this\nmeant that he could give his all for Hyderabad, for whom he rendered\nyeoman service for several years. Besides being a shrewd skipper, he\nalso had excellent all round career figures of 2224 runs and 268\nwickets.(', ')']",[],13,19,4,257,57,17.13,800,32.12,0,1,25,0,2,0,32,17,7,116,31*,11.6,162,71.6,0,0,6,0,5,0,,,,,,,,,,,,,,,98,129,22,3014,206*,28.16,,,2,16,,,44,0,54,30,11,281,71,14.78,,,0,1,,,12,0,,,,,,,,,,,,,,,13,22,3663,1438,41,5/50,8/104,35.07,2.35,89.3,4,3,0,32,32,1769,1216,31,5/21,5/21,39.22,4.12,57,0,1,0,,,,,,,,,,,,,,98,,23899,10295,361,8/65,,28.51,2.58,66.2,,24,3,54,,2981,1990,54,5/21,5/21,36.85,4,55.2,0,2,0,,,,,,,,,,,,,
M,26257,Salil Ankola,R,India,No,Salil Ashok Ankola,"
March 1, 1968, Sholapur, Maharashtra ",,51 years 22 days,"['India,', 'Maharashtra,', 'Mumbai']",,,,,Right-hand bat,Right-arm medium-fast,,,,"[""\nAnkola, a tall, good-looking and athletic fast bowler, made a dramatic debut for Bombay in 1988-89, grabbing a hat-trick and scoring 43 against Gujarat, and following up with a six-wicket haul against Baroda.  He was almost immediately drafted into the Indian side, taking 6 for 77 in the tour-opener in Pakistan in 1989-90 and making his Test debut - against Pakistan at Karachi- where he took 2 for 128.  But injuries - not helped by an extremely long run-up - took their toll and he didn't appear again in that series - in fact, the Karachi game was to be his only Test appearance. In 1990 he worked with Frank Tyson on remodelling his approach to the wicket, and returned with a shorter run, less pace but much-improved control.  He returned to the Indian one-day side in 1993 but was again cast aside the following year, his place not helped by his reputation as a poor fielder.  He was recalled to the side for the 1996 World Cup, and played in one subsequent series before again being dropped. Within a year, aged only 28, he had retired to pursue a career as an actor.  He appeared in a TV serial - "", ' as well as several film rolls. He subsequently turned his attention to film production. ', ' \n']",[],1,1,0,6,6,6,11,54.54,0,0,1,0,0,0,20,13,4,34,9,3.77,42,80.95,0,0,1,1,2,0,,,,,,,,,,,,,,,54,56,11,707,63,15.71,,,0,1,,,22,0,75,42,14,325,43*,11.6,,,0,0,,,18,0,,,,,,,,,,,,,,,1,2,180,128,2,1/35,2/128,64,4.26,90,0,0,0,20,20,807,615,13,3/33,3/33,47.3,4.57,62,0,0,0,,,,,,,,,,,,,,54,,8656,4585,181,6/47,,25.33,3.17,47.8,,8,0,75,,3329,2298,70,4/22,4/22,32.82,4.14,47.5,2,0,0,,,,,,,,,,,,,
M,26238,Pravin Amre,R,India,No,Pravin Kalyan Amre,"
August 14, 1968, Bombay (now Mumbai), Maharashtra ",,50 years 221 days,"['India,', 'Air India,', 'Bengal,', 'Boland,', 'Goa,', 'Mumbai,', 'Railways,', 'Rajasthan']",,,,,Right-hand bat,Legbreak,,,,"['\nOnly a few have made a hundred on debut in a Test match on foreign soil and for many it is a dream come true. Praveen Amre was one those rare breed of players who achieved this by making 103 against South Africa at Durban in 1992-93 under difficult conditions, for a struggling side and against an attack that included Donald, Pringle and McMillan. But then what more could one expect from a stylish right-hand batsman who hails from the \'Achrekar family\' - a coach who had players like Sachin Tendulkar and Vinod Kambli under his tutelage. Amre played just two seasons between 1992 and 94 before being dropped unceremoniously. He  first represented Bombay for one season in the Ranji Trophy in 1986-87 before moving to Railways, Rajasthan and Bengal in turn. He was a prolific scorer in domestic cricket. His 246 for Rest of India against Bengal is still the highest by any bastman in the Irani Trophy. He also scored runs aplenty along with a series of tall scores in the Duleep and Ranji Trophy, proving that he was the  player best suited to the  longer version of the game, displaying grit, temperament and determination. He was at his most prolific in the 1989-90 Duleep Trophy when he had scores of 106, 240 not out and 113 in the three matches he\nplayed. In the 1999-00 season Amre played on the South African domestic\ncircuit representing Boland and had an impressive record. Several people\nasked why he wasn\'t in the Indian team. ""All I could tell them was that I gave it my best shot each time. The rest was not in my hands"".\n', ' \n']",[],11,13,3,425,103,42.5,,,1,3,44,3,9,0,37,30,5,513,84*,20.52,799,64.2,0,2,28,2,12,0,,,,,,,,,,,,,,,86,134,15,5815,246,48.86,,,17,25,,,58,0,113,103,16,2382,103*,27.37,,,1,14,,,32,0,,,,,,,,,,,,,,,11,,,,,,,,,,,,,37,1,2,4,0,,,,12,,0,0,0,,,,,,,,,,,,,,86,,30,29,0,,,,5.8,,0,0,0,113,,26,22,0,,,,5.07,,0,0,0,,,,,,,,,,,,,
M,26225,Mohinder Amarnath,R,India,No,Mohinder Amarnath Bhardwaj,"
September 24, 1950, Patiala, Punjab ",,68 years 180 days,"['India,', 'Baroda,', 'Delhi,', 'Durham,', 'Punjab,', 'Wiltshire']",,,,,Right-hand bat,Right-arm medium,,"['Father - ', ',', 'Brother - ', ',', 'Brother - ', ',', 'Nephew - ']",,"['\nGrit, guts and gumption personified Amarnath\'s roller-coaster career, which began in 1969 and spanned two eventful decades. He was cricket\'s Frank Sinatra - the master of the comeback. He started his career as suspect against short-pitched fast bowling, and finished it as one of the finest and bravest players of pace. His defining season was 1982-83: coming back to the side after three years, he stood tall to knock off 1182 runs - including five hundreds - in 11 away Tests against West Indies and Pakistan. He crowned the season with back-to-back Man of the Match awards at the climax of India\'s World Cup-winning campaign in 1983. But his world came crashing down again the following home season, when he managed only one run in six innings against that same West Indian team. ""Mr Amarnought"" got the axe. But it wasn\'t the end: he bounced back with renewed force and vigour and was soon hooking fast bowlers off his eyebrows again. He didn\'t go in for cheap runs - nine of his 11 Test centuries were scored overseas -- and he collected his share of bruises. He will be remembered as a batsman who didn\'t flinch in the face of fire. After retiring, Amarnath guided a fledgling Bangladesh side in the mid-90s but was dumped after they failed to qualify for the 1996 World Cup. He then had a short stint coaching Rajasthan in the Indian domestic competitions as well as a coaching assignment with the Moroccan cricket team. He turned down the India A job a few years ago and was one of the shortlisted four candidates for taking up the role of the Indian coach in 2005. Amarnath now keeps himself occupied with commentary assignments. In 2008, he was appointed consultant of the Bengal team after they were relegated to the Plate division in the Ranji Trophy.', '\n', '\n \n']",['Wisden Cricketer of the Year 1984'],69,113,10,4378,138,42.5,,,11,24,,21,47,0,85,75,12,1924,102*,30.53,3334,57.7,2,13,,,23,0,,,,,,,,,,,,,,,248,379,61,13747,207,43.22,,,30,67,,,153,0,109,99,17,2701,102*,32.93,,,2,18,,,26,0,,,,,,,,,,,,,,,69,71,3676,1782,32,4/63,4/63,55.68,2.9,114.8,1,0,0,85,64,2730,1971,46,3/12,3/12,42.84,4.33,59.3,0,0,0,,,,,,,,,,,,,,248,,21056,9107,277,7/27,,32.87,2.59,76,,8,1,109,,3703,2611,61,3/12,3/12,42.8,4.23,60.7,0,0,0,,,,,,,,,,,,,
M,625383,Jasprit Bumrah,NR,India,No,Jasprit Jasbirsingh Bumrah,"
December 6, 1993, Ahmedabad ",,25 years 107 days,"['India,', 'Gujarat,', 'India A,', 'India Under-23s,', 'Mumbai Indians']",,,,Bowler,Right-hand bat,Right-arm fast-medium,,,,"[""\nJasprit Bumrah grabbed eyeballs first with his unorthodox action, and then his bowling skills. Armed with an anomalous, sling-arm action and natural pace, the peculiar release point of Bumrah's deliveries makes it hard for batsmen to pick him.  \n"", 'Besides, like his Mumbai Indians team-mate, Lasith Malinga, Bumrah carved himself a reputation for possessing an uncanny ability to hit the blockhole. And, it was during his time in the IPL that he learned from the Sri Lankan to judiciously use the yorker.  ', ""A regular member of the India A team, Bumrah was on the fringes of national selection before a debilitating left knee injury at the end of 2014 kept him out for four-and-a-half months. He had to wait more than a year before earning another call-up, one which came on the back of a fruitful 2015-16 domestic season, where he was Gujarat's second-highest wicket-taker in the Ranji Trophy and topped the bowling charts in the Vijay Hazare Trophy - that included a five-for in the List-A final that gave Gujarat their maiden one-day title. "", ""Those performances, and an untimely injury to Mohammed Shami, meant Bumrah took the flight to Australia, where he played a central role for India, finishing as the highest wicket-taker from either side as the visitors swept the T20Is 3-0. It was a showing that earned him the praise of MS Dhoni - who called him the find of the tour - as well as a place in India's squad for the 2016 World T20."", ' ']",[],10,15,6,14,6,1.55,102,13.72,0,0,1,0,3,0,49,10,5,18,10*,3.6,42,42.85,0,0,2,1,16,0,42,6,4,8,7,4,13,61.53,0,0,1,0,6,0,36,43,25,134,16*,7.44,574,23.34,0,0,16,0,12,0,74,23,12,81,42*,7.36,100,81,0,0,7,4,24,0,133,20,13,69,16*,9.85,76,90.78,0,0,4,3,21,0,10,20,2416,1073,49,6/33,9/86,21.89,2.66,49.3,0,3,0,49,49,2505,1883,85,5/27,5/27,22.15,4.51,29.4,4,1,0,42,42,919,1029,51,3/11,3/11,20.17,6.71,18,0,0,0,36,62,7430,3328,138,6/29,9/86,24.11,2.68,53.8,3,9,0,74,74,3860,2784,137,5/27,5/27,20.32,4.32,28.1,7,2,0,133,133,2954,3523,155,3/7,3/7,22.72,7.15,19,0,0,0
M,54239,Sandra Braganza,R,India,No,Sandra Braganza,"
date unknown ",,,India Women,,,,,,,,,,[],[],6,9,6,45,19*,15,,,0,0,,,0,0,20,11,4,44,11,6.28,,,0,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,450,204,4,2/35,2/38,51,2.72,112.5,0,0,0,20,19,1014,506,25,4/24,4/24,20.24,2.99,40.5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,942645,Khaleel Ahmed,NR,India,No,Khaleel Khursheed Ahmed,"
December 5, 1997, Tonk, Rajasthan ",,21 years 108 days,"['India,', 'Delhi Daredevils,', 'India A,', 'India Under-19s,', 'Rajasthan Under-16s,', 'Rajasthan Under-19s,', 'Sunrisers Hyderabad']",,,,Bowler,Right-hand bat,Left-arm medium,,,,"[""\nA left-arm medium pacer and opening bowler for India Under-19s, Khaleel Ahmed has been a dependable performer at the youth level. He came into the Under-19 World Cup in 2016 with 12 wickets in three innings, including 3 for 29 against Sri Lanka in the final of the Tri-Nation Under-19s tournament in Colombo. He couldn't quite extend that wicket-taking form into the World Cup, but was a regular presence in the side. \n"", ""Khaleel was bought by Delhi Daredevils for INR 10 lakh at the IPL auction in 2016, thereby extending his association with Rahul Dravid who served as India's Under-19 coach and is also the Daredevils' team mentor. ""]",[],,,,,,,,,,,,,,,8,3,1,9,5,4.5,17,52.94,0,0,1,0,1,0,9,1,1,1,1*,,1,100,0,0,0,0,2,0,3,2,2,20,18*,,24,83.33,0,0,3,0,1,0,28,7,2,10,5,2,34,29.41,0,0,1,0,5,0,25,5,4,5,3*,5,8,62.5,0,0,0,0,7,0,,,,,,,,,,,,,,8,8,378,338,11,3/13,3/13,30.72,5.36,34.3,0,0,0,9,9,210,321,10,2/27,2/27,32.1,9.17,21,0,0,0,3,5,506,250,5,3/33,3/70,50,2.96,101.2,0,0,0,28,28,1325,1126,43,4/35,4/35,26.18,5.09,30.8,1,0,0,25,25,574,750,39,5/18,5/18,19.23,7.83,14.7,1,1,0
